Wall time,Step,Value
1685697421.504433,0,6.476240628217056e-07
1685699576.0112197,10,1.0203007150266785e-07
1685701689.975451,20,5.281365247356007e-07
1685703803.7935686,30,8.534122457604099e-07
1685705917.981865,40,3.4422139378875727e-06
1685708032.0706384,50,1.1519115332703223e-06
1685710146.1786058,60,2.294287241966231e-06
1685712258.720026,70,9.454345217818627e-07
1685714366.3347995,80,1.070627376975608e-06
1685716474.6177287,90,1.938606146723032e-06
